"rrrrr";"Ozon Product ID";"FBS OZON SKU ID";"Наименование товара";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Доступно на ""Тихвин, Мебельная 1"", шт";"Зарезервировано на ""Тихвин, Мебельная 1"", шт"
"2000174910011";"57181420";"241715465";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 64-66/182)";"5";"0";"5";"0"
"2001459872406";"57181421";"241715464";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 44-46/170)";"0";"0";"0";"0"
"2001459848050";"57181422";"241715521";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 44-46/176)";"3";"0";"3";"0"
"2000478140015";"57181423";"241715409";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 44-46/188)";"5";"0";"5";"0"
"2001459834992";"57181424";"241715851";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 48-50/170)";"0";"0";"0";"0"
"2001459872413";"57181425";"241715501";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 48-50/176)";"0";"0";"0";"0"
"2001459872543";"57181426";"241715480";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 48-50/182)";"2";"0";"2";"0"
"2001459872437";"57181427";"241715656";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 48-50/188)";"1";"0";"1";"0"
"2001459872444";"57181428";"241716105";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 52-57/176)";"0";"0";"0";"0"
"2001459872451";"57181429";"241715627";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 52-54/182)";"0";"0";"0";"0"
"2001459872468";"57181430";"241715340";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 52-54/188)";"0";"0";"0";"0"
"2001459872475";"57181431";"241713358";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 56-58/176)";"0";"0";"0";"0"
"2001459872499";"57181432";"241716024";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 56-58/182)";"0";"0";"0";"0"
"2001459872505";"57181433";"241716259";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 60-62/182)";"1";"0";"1";"0"
"2001459872512";"57181434";"241720691";"Комбинезон мужской зимний 8831-TWILL-16/90 (р-р 64-66/182)";"6";"0";"6";"0"
"2001459863954";"57181435";"241720515";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459854372";"57181436";"241716161";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459864012";"57181437";"241716191";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459863947";"57181438";"241721103";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459863961";"57181439";"241720865";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
