813,2000469810019,515NM-ADKN-14|56-58_182,Жилет утеплённый 515NM-ADKN-14,"(813, '2000469810019', 'activity'),"
814,2000469820018,515NM-ADKN-14|60-62_170,Жилет утеплённый 515NM-ADKN-14,"(814, '2000469820018', 'activity'),"
815,2000469830017,515NM-ADKN-14|60-62_182,Жилет утеплённый 515NM-ADKN-14,"(815, '2000469830017', 'activity'),"
816,2000507290018,515NM-ADKN-15|60-62_170,Жилет утеплённый 515NM-ADKN-15,"(816, '2000507290018', 'activity'),"
817,2000507280019,515NM-ADKN-15|56-58_170,Жилет утеплённый 515NM-ADKN-15,"(817, '2000507280019', 'activity'),"
818,2000507300014,515NM-ADKN-15|60-62_182,Жилет утеплённый 515NM-ADKN-15,"(818, '2000507300014', 'activity'),"
819,2000149010012,515NM-ADKN-90|60-62_170,Жилет утеплённый 515NM-ADKN-90,"(819, '2000149010012', 'activity'),"
820,2000148990018,515NM-ADKN-90|56-58_170,Жилет утеплённый 515NM-ADKN-90,"(820, '2000148990018', 'activity'),"
821,2000424100018,515NM-ADKN-90|56-58_182,Жилет утеплённый 515NM-ADKN-90,"(821, '2000424100018', 'activity'),"
822,2000149020011,515NM-ADKN-90|60-62_176,Жилет утеплённый 515NM-ADKN-90,"(822, '2000149020011', 'activity'),"
823,2000149030010,515NM-ADKN-90|64-66_170,Жилет утеплённый 515NM-ADKN-90,"(823, '2000149030010', 'activity'),"
824,2000194910022,515NM-BT-24|56-58_170,Жилет утеплённый 515NM-BT-24,"(824, '2000194910022', 'activity'),"
825,2000194930020,515NM-BT-24|60-62_170,Жилет утеплённый 515NM-BT-24,"(825, '2000194930020', 'activity'),"
826,2000193680025,515NM-KR-14|44-46_182,Жилет утеплённый 515NM-KR-14,"(826, '2000193680025', 'activity'),"
827,2000193730027,515NM-KR-14|56-58_170,Жилет утеплённый 515NM-KR-14,"(827, '2000193730027', 'activity'),"
828,2000193770023,515NM-KR-14|64-66_170,Жилет утеплённый 515NM-KR-14,"(828, '2000193770023', 'activity'),"
829,2001459821008,791E-TASLAN-12|48-50_170-176,Жилет утеплённый 791E-TASLAN-12,"(829, '2001459821008', 'activity'),"
830,2001459820988,791E-TASLAN-12|44-46_158-164,Жилет утеплённый 791E-TASLAN-12,"(830, '2001459820988', 'activity'),"
831,2001459820995,791E-TASLAN-12|44-46_170-176,Жилет утеплённый 791E-TASLAN-12,"(831, '2001459820995', 'activity'),"
832,2001459853733,791E-TASLAN-12|48-50_158-164,Жилет утеплённый 791E-TASLAN-12,"(832, '2001459853733', 'activity'),"
833,2001459821015,791E-TASLAN-12|48-50_182-188,Жилет утеплённый 791E-TASLAN-12,"(833, '2001459821015', 'activity'),"
834,2001459821022,791E-TASLAN-12|52-54_170-176,Жилет утеплённый 791E-TASLAN-12,"(834, '2001459821022', 'activity'),"
835,2001459853740,791E-TASLAN-12|52-54_182-188,Жилет утеплённый 791E-TASLAN-12,"(835, '2001459853740', 'activity'),"
836,2001459821039,791E-TASLAN-12|56-58_170-176,Жилет утеплённый 791E-TASLAN-12,"(836, '2001459821039', 'activity'),"
837,2001459821046,791E-TASLAN-12|56-58_182-188,Жилет утеплённый 791E-TASLAN-12,"(837, '2001459821046', 'activity'),"
838,2001459821053,791E-TASLAN-12|60-62_170-176,Жилет утеплённый 791E-TASLAN-12,"(838, '2001459821053', 'activity'),"
839,2001459821060,791E-TASLAN-12|60-62_182-188,Жилет утеплённый 791E-TASLAN-12,"(839, '2001459821060', 'activity'),"
840,2001459821077,791E-TASLAN-12|64-66_170-176,Жилет утеплённый 791E-TASLAN-12,"(840, '2001459821077', 'activity'),"
841,2001459821084,791E-TASLAN-12|64-66_182-188,Жилет утеплённый 791E-TASLAN-12,"(841, '2001459821084', 'activity'),"
842,2001459815175,791E-TASLAN-15|48-50_182-188,Жилет утеплённый 791E-TASLAN-15,"(842, '2001459815175', 'activity'),"
843,2001459815229,791E-TASLAN-15|44-46_158-164,Жилет утеплённый 791E-TASLAN-15,"(843, '2001459815229', 'activity'),"
844,2001459815212,791E-TASLAN-15|44-46_170-176,Жилет утеплённый 791E-TASLAN-15,"(844, '2001459815212', 'activity'),"
845,2001459815199,791E-TASLAN-15|48-50_158-164,Жилет утеплённый 791E-TASLAN-15,"(845, '2001459815199', 'activity'),"
846,2001459815182,791E-TASLAN-15|48-50_170-176,Жилет утеплённый 791E-TASLAN-15,"(846, '2001459815182', 'activity'),"
847,2001459815151,791E-TASLAN-15|52-54_170-176,Жилет утеплённый 791E-TASLAN-15,"(847, '2001459815151', 'activity'),"
848,2001459815090,791E-TASLAN-15|52-54_182-188,Жилет утеплённый 791E-TASLAN-15,"(848, '2001459815090', 'activity'),"
849,2001459815106,791E-TASLAN-15|56-58_170-176,Жилет утеплённый 791E-TASLAN-15,"(849, '2001459815106', 'activity'),"
850,2001459815113,791E-TASLAN-15|56-58_182-188,Жилет утеплённый 791E-TASLAN-15,"(850, '2001459815113', 'activity'),"
851,2001459815137,791E-TASLAN-15|60-62_170-176,Жилет утеплённый 791E-TASLAN-15,"(851, '2001459815137', 'activity'),"
